feature_set,n_estimators,contamination,max_samples,min_cluster_size,min_samples,precision,recall,f1,tn,fp,fn,tp,detected_anomalies,number_of_clusters,noise_entities
engineered,100,0.08,1.0,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.08,1.0,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.08,1.0,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.08,1.0,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.08,1.0,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.08,1.0,15,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.08,1.0,20,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.08,1.0,20,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.08,1.0,20,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.08,1.0,30,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.08,1.0,30,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.08,1.0,30,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,0.7,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.1,0.7,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.1,0.7,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,0.7,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.1,0.7,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.1,0.7,15,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,0.7,20,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.1,0.7,20,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.1,0.7,20,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,0.7,30,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.1,0.7,30,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.1,0.7,30,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,1.0,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.1,1.0,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.1,1.0,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,1.0,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,100,0.1,1.0,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,100,0.1,1.0,15,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,1.0,20,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.1,1.0,20,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.1,1.0,20,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,100,0.1,1.0,30,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,100,0.1,1.0,30,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,100,0.1,1.0,30,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,200,0.03,1.0,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,200,0.03,1.0,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,200,0.03,1.0,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,200,0.03,1.0,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,200,0.03,1.0,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,200,0.03,1.0,15,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,200,0.03,1.0,20,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,200,0.03,1.0,20,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,200,0.03,1.0,20,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,200,0.03,1.0,30,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,5
engineered,200,0.03,1.0,30,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,6
engineered,200,0.03,1.0,30,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,200,0.05,1.0,10,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,200,0.05,1.0,10,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
engineered,200,0.05,1.0,10,15,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,2,7
engineered,200,0.05,1.0,15,5,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,13
engineered,200,0.05,1.0,15,10,0.7586206896551724,0.275,0.4036697247706422,54,7,58,22,29,3,14
